"Aziende_nel_Database";"Settore";"ATECO";"Attivita";"Regioni";"Presenza_in_Lista_CONSOB";"Regime_di_rendicontazione";"Denominazione_DNF";"Modalita_di_rendicontazione";"N_Pag_DNF";"N_Pag_Sezione_ECN";"N_Pag_Sezione_ENV";"N_Pag_Sezione_SOC";"N_Pag_Sezione_CGV";"Presenza_del_Comitato_di_Sostenibilita";"Comitato_di_Sostenibilita_incluso_in_organi_endoconsigliari";"Piano_di_Sostenibilita";"Piano_di_sostenibilita_integrato_nel_piano_industriale";"Presenza_di_KPIs_e_benchmark_con_anni_pregressi";"Obiettivi_Target_ESG_breve_termine_1_2_anni_riportati";"Obiettivi_Target_ESG_lungo_termine_3_anni_riportati";"Obiettivi_Target_ENV_riportati";"Obiettivi_Target_SOC_riportati";"Sistemi_di_incentivazione_legati_alla_sostenibilita";"Integrazione_rischi_ESG_nei_sistemi_di_gestione";"Opzione_GRI_adottata";"Integrazione_con_altri_framework";"Acronimo_Integrazione_con_altri_framework";"Riferimento_a_SDGs";"SDGs_correlati_a_temi_materiali";"SDGs_correlati_a_futuri_obiettivi";"Rappresentazione_temi_materiali";"Stakeholder_engagement";"Dipendenti";"Clienti";"Fornitori";"Modalita_di_coinvolgimento_degli_stakeholder";"GRI_305_1_tCo2";"GRI_305_2_Location_Based_tCo2";"GRI_305_2_Market_Based_tCo2";"GRI_305_2_No_Method_tCo2";"GRI_305_3_tCo2";"GRI_302_1_GJ";"GRI_303_1_m3";"GRI_303_3_m3";"GRI_303_5_m3";"GRI_306_2_Short_Ton";"Emission_Intensity_Tot_GHG_scope1_piu_scope2_TOT_dipendenti";"Valore_Economico_Distribuito_ai_Fornitori_(%)";"Fornitori_valutati_su_criteri_ESG";"Rendicontazione_delle_performance_ambientali_dei_fornitori";"Rendicontazione_delle_performance_sociali_dei_fornitori";"N_uomini_dipendenti";"N_donne_dipendenti";"Donne_nel_CdA_(%)";"Donne_in_posizioni_manageriali_di_vertice_(%)";"Disuguaglianza_salariale_di_genere_(%)";"Eta_media_dipendenti_(%)";"Dipendenti_con_eta_30_per";"Dipendenti_con_eta_30_50_per";"Dipendenti_con_eta_50_per";"Eta_media_in_CdA_(%)";"Membri_del_CdA_con_eta_30_per";"Membri_del_CdA_con_eta_30_50_per";"Membri_del_CdA_con_eta_50_per";"Name";"NameFile"
"EDISON";"Energy";"701000";"";"Lombardia";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"178";"7";"29";"49";"0";"Si";"Si";"Si";"Si";"Si (2020-2022)";"Si";"Si";"Si";"Si";"No";"Si";"In accordance with";"SASB; UN Global Compact";"SASB; UN Global Compact";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"6865231";"217414";"392134";"0";"18933581";"80992000";"";"";"";"14630078";"128477";"51";"Si";"No";"No";"4619";"1199";"40";"19";"";"";"7";"54";"39";"";"";"";"";"93.pdf";"Edison-DNF2022-ITA-v.interattiva (edison).pdf"
"EI TOWERS";"Telecommunications";"263000";"";"Lombardia";"No";"DNF-Volontaria";"Bilancio-di-Sostenibilita";"Report-separato";"96";"13";"13";"17";"14";"Si";"Si";"Si";"Si";"SI (2020-2022) ";"Si";"Si";"Si";"Si";"No";"Si";"In accordance with";"";"";"Si";"No";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"2144";"22315";"32343";"";"";"286341";"";"";"";"26735";"11115";"6865";"No";"No";"No";"411";"100";"10";"5";"";"";"97";"276";"7142";"";"0";"20";"80";"94.pdf";"EIT-Bilancio-di-Sostenibilita-2022 (ei towers).pdf"
"EL.EN.";"Electronics";"266002";"";"Toscana";"Si";"Societa-azioni-quotate";"Bilancio-di-Sostenibilita";"Report-separato";"191";"23";"15";"41";"22";"Si";"No";"Si";"Si";"Si (2020-2022)";"Si";"Si";"Si";"Si";"No";"Si";"In accordance with";"";"";"Si";"Si";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey ";"2095";"2710";"3408";"";"";"57578";"";"53255";"";"79808";"39";"7328";"Si";"No";"No";"1628";"477";"43";"9375";"";"";"247";"6157";"1373";"";"0";"0";"100";"70.pdf";"Dichiarazione-Consolidata-Italiano-2022 (el.en).pdf"
"ELICA";"Electronics";"279009";"";"Marche";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"130";"9";"18";"28";"9";"Si";"Si";"Si";"Si";"SI (2021-2022)";"Si";"Si";"Si";"No";"Si";"Si";"In accordance with";"";"";"Si";"Si";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"4800";"2174";"";"175";"";"79963";"";"";"";"1520306";"186";"";"Si";"No";"No";"1408";"1170";"42";"12";"";"";"20";"52";"28";"";"";"";"";"72.pdf";"dichiarazione-non-finanziaria-2022-report-di-sostenibilita_relazione-kpmg_v1 (elica).pdf"
"EMAK";"Machine and Plant";"282400";"";"Emilia Romagna";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"84";"8";"13";"19";"9";"Si";"Si";"No";"No";"SI (2021-2022)";"No";"No";"No";"No";"No";"Si";"In accordance with";"SASB";"SASB ";"No";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey ";"4302";"7274";"8047";"";"";"148887";"";"204000";"";"282562";"859";"";"Si";"No";"No";"1491";"793";"46";"";"";"";"15";"57";"28";"";"0";"30";"70";"95.pdf";"emak_dichiarazione_non_finanziaria_2022 (emak).pdf"
"ENAV";"Logistics and Transport";"522300";"";"Lazio";"Si";"Societa-azioni-quotate";"Bilancio-di-Sostenibilita";"Report-separato";"188";"15";"32";"34";"35";"Si";"Si";"Si";"Si";"Si (2020-2022)";"Si";"No";"Si";"Si";"Si";"Si";"In accordance with";"IR Framework; TCFD; UN Global Compact";"IR Framework; TCFD; UN Global Compact";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"430028";"2168387";"300464";"";"54368";"29831975";"";"";"";"3204";"692";"1356";"Si";"Si";"No";"3333";"852";"44";"1";"";"";"5901";"117";"292";"";"0";"33";"67";"96.pdf";"Enav_Bilancio di Sostenibilit"
"ENEL";"Energy";"701000";"";"Lazio";"Si";"Societa-azioni-quotate";"Bilancio-di-Sostenibilita";"Report-separato";"590";"35";"62";"29";"21";"Si";"Si";"Si";"Si";"Si (2017-2022)";"Si";"Si";"Si";"Si";"Si";"Si ";"In accordance with";"SASB; TCFD; UN Global Compact";"SASB; TCFD; UN Global Compact";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"53070000";"4020000";"6060000";"";"75780000";"1108068900";"";"76000000";"";"370012948";"96969";"";"Si";"Si";"Si";"49899";"15225";"44";"25";"";"436";"131";"565";"304";"";"0";"11";"89";"39.pdf";"bilancio-sostenibilita_2022 (enel).pdf"
"ENI";"Oil and Gas";"352300";"";"Lazio";"Si";"Societa-azioni-quotate";"Report-Integrato";"Incluso-nella-Relazione-sulla-Gestione";"40";"15";"26";"16";"4";"No";"No";"No";"No";"Si (2020-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"In accordance with";"TCFD";"TCFD";"Si";"Si";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"39390000";"";"";"790000";"164000000";"498200000";"";"122000000";"1424000000";"2976237";"127295";"";"Si";"No";"No";"22949";"8427";"44";"285";"";"451";"88";"567";"344";"";"0";"22";"78";"173.pdf";"Relazione-finanziaria-annuale-2022 (eni- dnf  162).pdf"
"ERG";"Energy";"701000";"";"Liguria";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"184";"23";"35";"19";"27";"Si";"No";"Si";"Si";"Si (2020-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"In accordance with";"TCFD; UN Global Compact";"TCFD; UN Global Compact";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"900";"5300";"700";"";"46000";"";"";"";"230000000";"56643";"163996";"";"Si";"Si";"No";"404";"169";"42";"183";"95";"42";"13";"67";"21";"55";"0";"16";"84";"79.pdf";"DNF 2022 Italiano-202303030 (erg).pdf"
"ESPRINET";"Retailers";"465100";"";"Lombardia";"Si";"Societa-azioni-quotate";"Bilancio-di-Sostenibilita";"Report-separato";"136";"9";"34";"21";"5";"Si";"Si";"No";"No";"Si (2020-2022)";"No";"No";"No";"No";"Si";"Si";"In accordance with";"";"";"Si";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey ";"776";"2025";"132";"";"41342";"26282";"";"";"";"13165";"162";"9706";"No";"No";"No";"824";"982";"55";"3043";"76";"";"1544";"6679";"1777";"";"";"";"";"97.pdf";"Esprinet-Bilancio-di-Sostenibilita-2022 (esprinet).pdf"
"ESSELUNGA (dnf reperibile solo online)";"Food and Beverage";"471120";"";"Lombardia";"Si";"Altro-EIPR-obbligato";"Bilancio-di-Sostenibilita";"Report-separato";"152";"8";"38";"52";"2";"Si";"Si";"Si";"No";"Si (2018-2022)";"Si";"Si";"Si";"Si";"No";"Si";"With reference to";"TCFD";"TCFD";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"103361";"";"7862099";"";"";"3419746";"";"";"";"3535854";"726";"";"Si";"Si";"Si";"13790";"11283";"33";"";"";"41";"";"";"";"";"";"";"";"https:__www.esselunga.it_cms_sostenibilita_bilancio-di-sostenibilita-2022.html#1";"https://www.esselunga.it/cms/sostenibilita/bilancio-di-sostenibilita-2022.html#1"
"EUROGROUP LAMINATIONS SPA";"Manufacturing";"701";"";"Lombardia";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"53";"8";"6";"8";"3";"Si";"Si";"Si";"No";"Si (2021-2022)";"Si";"No";"No";"No";"No";"Si";"In accordance with";"";"";"Si";"No";"No";"Matrice";"Si";"Si";"Si";"Si";"Survey ";"24330";"18682";"22429";"";"";"653453";"";"1225000000";"";"216000";"2835";"18";"No";"No";"No";"1754";"554";"20";"11";"";"";"26";"52";"23";"";"0";"20";"80";"12.pdf";"969eaaed-7239-484a-8d51-d850bb104526 (Eurogroup laminations).pdf"
"EXPRIVIA SPA";"Services";"620100";"";"Puglia";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"92";"5";"28";"10";"5";"No";"No";"No";"No";"Si (2020-2022)";"Si";"No";"No";"No";"No";"Si";"With reference to";"";"";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey ";"51591";"416";"773";"";"1561";"6094";"";"";"";"2634";"71";"";"No";"No";"No";"1518";"878";"4285";"1481";"";"";"168";"629";"2028";"";"";"";"";"82.pdf";"DNF-2022 (exprivia).pdf"
"F.I.L.A.";"Manufacturing";"329930";"";"Lombardia";"Si";"Societa-azioni-quotate";"Bilancio-di-Sostenibilita";"Report-separato";"162";"24";"38";"17";"15";"Si";"Si";"Si";"Si";"Si (2020-2022)";"No";"Si";"Si";"Si";"No";"Si";"In accordance with";"";"";"Si";"Si";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"11410";"";"";"50529";"";"322997";"";"2129712";"";"1742435";"55";"";"Si";"No";"No";"5491";"5771";"42";"";"";"";"5237";"3886";"875";"5928";"0";"0";"100";"69.pdf";"dichiarazione-consolidata-di-carattere-non-finanziario-del-gruppo-fila-2022 (F.i.l.a.).pdf"
"FCA (ora stellantis)";"Banks";"641910";"";"Piemonte";"No";"Servizi-Finanziari";"DNF";"Report-separato";"493";"64";"117";"115";"29";"No";"No";"No";"No";"SI (2021-2022)";"Si";"Si";"Si";"No";"No";"Si";"With reference to";"SASB; TCFD; UN Global Compact";"SASB; TCFD; UN Global Compact";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"1500000";"";"1900000";"";"450600000";"557816076";"";"26661000";"7962000";"";"1288";"";"Si";"No";"No";"209051";"54881";"2727";"22";"94";"";"1424";"5315";"326";"";"";"";"";"108.pdf";"Gruppo-FCA-Bank_Relazione-e-Bilancio-Consolidato_31122022.pdf"
"FERALPI HOLDING SPA";"Steel";"701000";"";"Lombardia";"Si";"DNF Volontaria";"DNF";"Report-separato";"168";"4";"18";"22";"6";"Si";"Si";"No";"No";"Si (2020-2022)";"Si";"No";"Si";"Si";"No";"No";"With reference to";"SASB";"SASB";"Si";"Si";"No";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"209749";"499037";"746995";"";"41788";"5258816";"";"";"";"68346417";"78436";"";"Si";"No";"No";"1685";"171";"25";"";"";"";"1422";"4887";"3691";"";"0";"12";"88";"77.pdf";"DNF 2022 - Feralpi - Integrale_0 (Feralpi).pdf"
"FERROVIE DELLO STATO ITALIANE";"Logistics and Transport";"701000";"";"Lazio";"Si";"Altro-EIPR-obbligato";"Bilancio-di-Sostenibilita";"Report-separato";"234";"28";"61";"39";"10";"Si";"Si";"No";"No";"Si (2020-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"In accordance with";"TCFD";"TCFD";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"511252";"1499414";"";"";"";"27200000";"";"16700000";"300600";"37368309";"2355";"";"Si";"No";"No";"68289";"17072";"42";"2532";"";"42";"233";"448";"318";"";"0";"14";"86";"167.pdf";"rapporto-sostenibilit"
"FIERA MILANO";"Services";"823000";"";"Lombardia";"Si";"Societa-azioni-quotate";"Bilancio-di-Sostenibilita";"Report-separato";"161";"14";"44";"20";"20";"Si";"Si";"Si";"Si";"Si (2019-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"In accordance with";"TCFD";"TCFD";"Si";"No";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"783";"15605";"17055";"";"";"221348";"";"2617287";"";"926602";"5592";"6517";"Si";"No";"No";"265";"347";"5555";"10";"98";"";"85";"4755";"4395";"";"0";"12";"88";"102.pdf";"FM_DNF_2022_HR (fiera Milano).pdf"
"FINCANTIERI";"Steel";"301100";"";"Friuli-Venezia Giulia";"Si";"Societa-azioni-quotate";"Bilancio-di-Sostenibilita";"Report-separato";"294";"20";"74";"61";"34";"Si";"Si";"Si";"Si";"Si (2021-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"In accordance with";"TCFD";"TCFD";"Si";"Si";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"118461";"112204";"32653";"";"22928859";"3075437";"";"";"2879000";"15205705";"1266";"7976";"Si";"No";"No";"17762";"3027";"40";"8";"";"";"13";"54";"33";"558";"0";"40";"60";"130.pdf";"ita_fincantieri_bilancio_di_sostenibilita_2022 (fincantieri).pdf"
"FINE FOODS & PHARMACEUTICALS N.T.M. SPA";"Food and Beverage ";"1086";"";"Lombardia ";"Si";"Societa-azioni-quotate";"Bilancio di Sostenibilita ";"Report separato ";"219";"20";"21";"36";"25";"Si";"Si";"Si";"Si";"Si (2020-2022)";"Si";"Si";"Si";"Si";"No";"Si";"In accordance with";"SASB; IR Framework";"SASB; IR Framework ";"Si";"Si";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"714753";"";"112815";"";"";"15399811";"";"72960";"";"1782423";"1107";"29";"Si";"Si";"Si";"388";"359";"43";"21";"88";"";"19";"58";"24";"";"0";"285";"715";"100.pdf";"FINE FOODS _ PHARMACEUTICALS N.T.M. SPA DNF 2022.pdf"
"FINECO BANK SPA";"Banks";"641910";"";"Lombardia";"Si";"Societa-azioni-quotate";"Bilancio-di-Sostenibilita";"Report-separato";"182";"9";"23";"18";"15";"Si";"Si";"Si";"Si";"Si (2020-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"In accordance with";"UN Global Compact";"UN Global Compact";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"No";"Survey; Workshop Multi-STK";"313";"460";"";"";"47";"47686";"";"";"42196";"3695";"59";"989";"Si";"No";"No";"772";"564";"55";"21";"";"";"1377";"6662";"1961";"595";"0";"27";"73";"130.pdf";"ita_fincantieri_bilancio_di_sostenibilita_2022 (fincantieri).pdf"
"FNM GROUP";"Logistics and Transport";"490000";"";"Lombardia";"Si";"Societa-azioni-quotate";"Bilancio-di-Sostenibilita";"Report-separato";"243";"15";"51";"38";"18";"Si";"Si";"Si";"Si";"Si (2020-2022)";"No";"Si";"Si";"Si";"Si";"Si";"In accordance with";"UN Global Compact; IR Framework";"UN Global Compact; IR Framework";"Si";"No";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"116009";"";"160077";"";"16900";"3279459";"";"626922";"";"115034";"2696";"63";"Si";"No";"No";"8307";"1975";"4285";"1818";"";"";"831";"5829";"3338";"5914285714";"0";"1429";"8571";"103.pdf";"FNM-DNF-2022-Web (FNM).pdf"
"GAROFALO HEALTHCARE SPA";"Healthcare and Pharma";"642000";"";"Lazio";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"105";"4";"11";"8";"16";"Si";"Si";"Si";"Si";"Si (2021-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"In accordance with";"UN Global Compact ";"UN Global Compact ";"Si";"Si";"No";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"3899";"8901";"6135";"";"";"140463";"";"";"";"900588";"993";"353";"No";"No";"No";"434";"1473";"54";"33";"";"";"1452";"4992";"3555";"53";"0";"9";"81";"188.pdf";"sBZYopMnrF3798ZJ3ZmP (Garofalo Healthcare).pdf"
"GEDI";"Media and Publishing";"581400";"";"Lazio";"Si";"DNF Volontaria";"DNF";"Report-separato";"66";"1";"18";"13";"12";"No";"No";"No";"No";"SI (2021-2022)";"No";"No";"No";"No";"Si";"Si";"In accordance with";"";"";"Si";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"1387";"9966";"1497";"";"5210";"142356";"";"40700";"";"6061";"741";"";"No";"No";"No";"1025";"710";"11";"25";"";"";"13";"3715";"6151";"";"0";"44";"56";"85.pdf";"DNF22 (gedi).pdf"
"GEFRAN";"Electronics";"279009";"";"Lombardia";"Si";"Societa-azioni-quotate";"Bilancio-di-Sostenibilita";"Report-separato";"198";"13";"39";"26";"8";"Si";"Si";"Si";"Si";"Si (2018-2022)";"Si";"No";"Si";"Si";"No";"Si";"With reference to";"";"";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"1040";"1906";"515";"";"";"38421";"";"13017";"";"49381";"525";"";"Si";"No";"No";"435";"224";"44";"3";"";"";"11";"62";"27";"";"0";"33";"67";"227.pdf";"GEFRANBilancioSostenibilita22"
"GEOX";"Manufacturing ";"152010";"";"Veneto";"Si";"Societa-azioni-quotate";"DNF ";"Report-separato";"235";"3";"21";"43";"8";"Si";"Si ";"No ";"No";"Si (2020-2022)";"Si";"Si ";"Si";"Si";"Si";"Si";"In accordance with";"";"";"Si";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK ";"16097";"38026";"45636";"";"386";"8155705";"";"14130";"";"172851";"157";"";"Si";"No";"No";"779";"2037";"56";"17";"";"37";"30";"57";"13";"";"0";"44";"56";"104.pdf";"GEOX_DNF_2022.pdf"
"GPI SPA";"Services ";"620100";"";"Trentino-Alto Adige";"Si";"Societa-azioni-quotate";"DNF ";"Report-separato";"80";"6";"5";"18";"4";"Si";"Si ";"Si";"Si";"Si (2020-2022)";"Si";"Si";"No";"Si";"No";"Si";"In accordance with";"";"";"No";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey ";"1855";"821";"773";"";"";"37851";"";"";"";"8846";"5";"3445";"Si";"No";"No";"2407";"4470";"20";"15";"85";"41";"16";"63";"21";"498";"0";"40";"60";"105.pdf";"GPI SPA_DNF_2022.pdf"
"GRUPPO MUTUIONLINE";"Financial Services ";"701000";"";"Lombardia ";"Si";"Societa-azioni-quotate";"DNF ";"Report-separato";"59";"3";"3";"6";"16";"No";"No";"No ";"No";"Si (2020-2022)";"Si";"No";"No";"No";"No";"Si";"In accordance with";"";"";"No";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Workshop Multi-STK";"2894";"12373";"17451";"";"";"186838";"";"";"";"";"125";"";"No";"No";"No";"1017";"1599";"40";"";"";"";"";"";"";"";"";"";"";"106.pdf";"GRUPPO MUTUIONLINE_DNF2022.pdf"
"GRUPPO TORINESE TRASPORTI SPA";"Logistics and Transport ";"2.06319444444444";"";"Piemonte ";"Si";"DNF-Volontaria ";"DNF";"Report-separato";"141";"5";"18";"42";"8";"No";"No";"No";"Si";"Si (2020-2022)";"Si";"Si";"Si";"Si";"No";"No";"In accordance with";"";"";"Si";"Si";"No";"Lista";"Si";"Si";"Si";"Si";"";"";"";"";"";"";"";"";"263000";"";"4049";"";"37";"Si";"Si";"Si";"3387";"702";"33";"11";"";"";"1";"71";"28";"";"";"";"";"107.pdf";"GRUPPO TORINESE TRASPORTI SPA_DNF2022.pdf"
"GUALA CLOSURES SPA";"Manufacturing ";"259200";"";"Piemonte ";"No";"Societa-azioni-quotate";"Bilancio-di-sostenibilita";"Report-separato ";"93";"2";"6";"12";"1";"Si";"No";"No";"Si";"Si (2020-2022)";"Si";"Si";"Si";"Si";"No";"No";"In accordance with";"SASB; UN Global Compact ";"SASB; UN Global Compact ";"Si";"Si";"Si";"Matrice ";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"";"";"";"";"";"";"";"";"";"";"";"";"Si";"No";"No";"3805";"1235";"33";"22";"";"";"";"";"";"";"";"";"";"109.pdf";"GUALA CLOSURES_DNF2022.pdf"
"GVS SPA";"Healthcare and Pharma ";"642000";"";"Emilia Romagna ";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"133";"9";"20";"13";"2";"Si";"No";"No";"No ";"Si (2020-2022)";"No";"No";"No";"No";"No";"No";"With reference to";"UN Global Compact ";"UN Global Compact ";"Si";"Si";"No";"Lista";"Si";"Si";"Si";"Si";"Survey ";"4735";"";"15850";"";"";"307166";"";"113053";"";"542005";"422";"";"Si";"Si";"Si";"1961";"2908";"44";"";"";"";"299";"521";"18";"53";"0";"555";"444";"110.pdf";"GVS_DNF_2022.pdf"
"HELVETIA ITALIA";"Financial Services ";"651200";"";"Lombardia ";"Si";"Servizi-Finanziari";"Bilancio-di-sostenibilita";"Report-separato";"124";"4";"6";"12";"7";"Si";"No";"Si";"Si";"Si (2021-2022)";"Si";"No";"Si";"Si";"No";"No";"With reference to";"TCFD; UN Global Compact";"TCFD; UN Global Compact";"Si";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"67053";"";"";"";"4463";"778851";"";"1340981";"";"9029";"118";"3442";"No";"No";"No";"306";"257";"";"2857";"";"";"92";"473";"435";"";"";"";"";"111.pdf";"HELVETIA ITALIA_DNF_2022.pdf"
"HERA";"Utilities";"360000";"";"Emilia Romagna ";"Si";"Societa-azioni-quotate";"Bilancio-di-sostenibilita";"Report-separato";"392";"6";"60";"65";"38";"Si";"No";"No";"No";"Si (2020-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"In accordance with";"TCFD; SASB; UN Global Compact ";"TCFD; SASB; UN Global Compact ";"Si";"Si";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"936600";"";"0";"537500";"12251142";"4546000";"";"408321000";"";"180897571";"1565";"378";"Si";"No";"Si";"6812";"2603";"40";"216";"9365";"467";"67";"494";"439";"596";"0";"20";"80";"112.pdf";"HERA_DNF_2022.pdf"
"I.M.A. INDUSTRIA MACCHINE AUTOMATICHE";"Machine and Plant ";"282930";"";"Emilia Romagna ";"No";"DNF-volontaria ";"Bilancio-di-sostenibilita";"Report-separato";"137";"3";"14";"22";"2";"No";"No";"No";"No";"Si (2020-2022)";"No";"No";"No";"No";"No";"Si";"In accordance with";"";"";"Si";"Si";"No";"Lista";"Si";"Si";"Si";"Si";"Survey ";"1132832";"1559589";"944817";"";"";"33629319";"";"289320";"";"660867";"527";"625";"Si";"No";"No";"5659";"1242";"10";"1528";"";"";"145";"532";"323";"";"0";"50";"50";"113.pdf";"I.M.A. INDUSTRIA MACCHINE AUTOMATICHE_DNF_2022.pdf"
"IBL BANCA";"Banks";"641910";"";"Lazio";"Si";"Servizi-Finanziari";"DNF";"Report-separato ";"69";"5";"2";"16";"17";"No";"No";"No";"No";"Si (2020-2022)";"Si";"No";"No";"No";"No";"Si";"In accordance with";"";"";"Si";"Si";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey ";"13053";"87703";"112142";"";"";"14215";"";"";"";"";"248";"";"No";"No";"No";"372";"485";"11";"55";"105";"40";"9";"75";"16";"";"0";"11";"89";"114.pdf";"IBL Banca_DNF_2022.pdf"
"ICCREA BANCA SPA";"Banks";"641910";"";"Lazio";"Si";"Servizi-Finanziari";"DNF";"Report-separato ";"334";"7";"8";"12";"5";"Si";"No";"Si";"Si";"Si (2020-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"In accordance with";"TCFD; SASB";"TCFD; SASB";"Si";"Si";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"11934";"32940";"7329";"";"1698";"652890";"";"";"";"";"235";"2723";"Si";"No";"No";"12709";"9435";"40";"77";"8922";"";"51";"557";"3912";"65";"0";"0";"100";"115.pdf";"ICCREA BANCA SPA_DCNF 2022.pdf"
"ILLIMITY BANK SPA";"Banks";"641910";"";"Lombardia ";"Si";"Societa-azioni-quotate";"Bilancio-di-sostenibilita";"Report-separato ";"152";"3";"5";"11";"9";"Si";"Si";"Si";"Si";"Si (2020-2022)";"Si";"No";"Si";"Si";"Si";"Si";"In accordance with";"TCFD; SASB; UN Global Compact ";"TCFD; SASB; UN Global Compact ";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"1751";"2438";"1004";"";"3577";"58746";"";"";"1680000";"1908";"61";"3161";"Si";"No";"No";"487";"366";"46";"208";"954";"36";"308";"6611";"3";"";"0";"23";"769";"117.pdf";"ILLIMITY BANK SPA_DNF_2022.pdf"
"IL SOLE 24 ORE SPA";"Media and Publishing ";"581300";"";"Lombardia ";"Si";"Societa-azioni-quotate";"DNF";"Report-separato ";"75";"4";"6";"17";"3";"Si";"Si";"No";"No";"Si (2020-2022)";"Si";"Si";"No";"Si";"No";"Si";"In accordance with";"";"";"No";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey ";"251";"2861";"3171";"";"";"36557";"";"";"";"23054";"822";"";"Si";"No";"No";"385";"379";"45";"20";"9125";"";"1";"43";"56";"";"0";"182";"818";"116.pdf";"IL SOLE 24 ORE DNF2022.pdf"
"IMMSI SPA";"Automotive ";"701000";"";"Lombardia ";"Si";"Societa-azioni-quotate";"DNF";"Report-separato ";"111";"7";"11";"21";"8";"Si";"Si";"Si";"Si";"Si (2021-2022)";"Si";"No";"SI";"Si";"No";"Si";"In accordance with";"";"";"Si";"No";"No";"Lista";"Si";"Si";"Si";"Si";"";"18964";"39134";"46876";"";"5142985";"548304";"";"793000000";"";"1548296";"1718";"8126";"Si";"No";"No";"4788";"1321";"417";"605";"90";"";"133";"5588";"3074";"";"0";"3333";"6667";"118.pdf";"IMMSI SPA_DNF_2022.pdf"
