"Aziende_nel_Database";"Settore";"ATECO";"Attivita";"Regioni";"Presenza_in_Lista_CONSOB";"Regime_di_rendicontazione";"Denominazione_DNF";"Modalita_di_rendicontazione";"N_Pag_DNF";"N_Pag_Sezione_ECN";"N_Pag_Sezione_ENV";"N_Pag_Sezione_SOC";"N_Pag_Sezione_CGV";"Presenza_del_Comitato_di_Sostenibilita";"Comitato_di_Sostenibilita_incluso_in_organi_endoconsigliari";"Piano_di_Sostenibilita";"Piano_di_sostenibilita_integrato_nel_piano_industriale";"Presenza_di_KPIs_e_benchmark_con_anni_pregressi";"Obiettivi_Target_ESG_breve_termine_1_2_anni_riportati";"Obiettivi_Target_ESG_lungo_termine_3_anni_riportati";"Obiettivi_Target_ENV_riportati";"Obiettivi_Target_SOC_riportati";"Sistemi_di_incentivazione_legati_alla_sostenibilita";"Integrazione_rischi_ESG_nei_sistemi_di_gestione";"Opzione_GRI_adottata";"Integrazione_con_altri_framework";"Acronimo_Integrazione_con_altri_framework";"Riferimento_a_SDGs";"SDGs_correlati_a_temi_materiali";"SDGs_correlati_a_futuri_obiettivi";"Rappresentazione_temi_materiali";"Stakeholder_engagement";"Dipendenti";"Clienti";"Fornitori";"Modalita_di_coinvolgimento_degli_stakeholder";"GRI_305_1_tCo2";"GRI_305_2_Location_Based_tCo2";"GRI_305_2_Market_Based_tCo2";"GRI_305_2_No_Method_tCo2";"GRI_305_3_tCo2";"GRI_302_1_GJ";"GRI_303_1_m3";"GRI_303_3_m3";"GRI_303_5_m3";"GRI_306_2_Short_Ton";"Emission_Intensity_Tot_GHG_scope1_piu_scope2_TOT_dipendenti";"Valore_Economico_Distribuito_ai_Fornitori_(%)";"Fornitori_valutati_su_criteri_ESG";"Rendicontazione_delle_performance_ambientali_dei_fornitori";"Rendicontazione_delle_performance_sociali_dei_fornitori";"N_uomini_dipendenti";"N_donne_dipendenti";"Donne_nel_CdA_(%)";"Donne_in_posizioni_manageriali_di_vertice_(%)";"Disuguaglianza_salariale_di_genere_(%)";"Eta_media_dipendenti_(%)";"Dipendenti_con_eta_30_per";"Dipendenti_con_eta_30_50_per";"Dipendenti_con_eta_50_per";"Eta_media_in_CdA_(%)";"Membri_del_CdA_con_eta_30_per";"Membri_del_CdA_con_eta_30_50_per";"Membri_del_CdA_con_eta_50_per";"Name";"NameFile"
"BANCA GENERALI SPA";"Banks";"641910";"";"Friuli-Venezia Giulia";"Si";"Societa-azioni-quotate";"Report-Integrato";"Incluso-nella-Relazione-sulla-Gestione";"252";"11";"5";"34";"35";"Si";"Si";"Si";"Si";"Si (2018-2022)";"No";"No";"Si";"Si";"Si";"Si";"In accordance with";"IR Framework; TCFD; ";"IR Framework; TCFD";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop mono-STK";"363";"";"188";"";"452";"11374";"";"7083";"";"17";"539138943248532";"9";"No";"No";"No";"522";"500";"44";"23";"";"45";"";"";"";"";"";"";"";"32.pdf";"BG+RAI+2022+ITA (BANCA GENERALI SPA).pdf"
"BANCA IFIS";"Banks";"641910";"";"Veneto";"Si";"Servizi-Finanziari";"DNF";"Report-separato";"120";"5";"2";"27";"10";"Si";"Si";"Si";"Si";"Si (2020-2022)";"Si";"No";"Si";"Si";"Si";"Si";"In accordance with";"";"";"Si";"Si";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"1578";"761";"";"";"202";"32547";"";"";"";"126";"124813233724653";"";"Si";"No";"No";"1004";"870";"54";"25";"96";"";"7";"73";"20";"";"0";"31";"69";"23.pdf";"Banca-Ifis_DNF_2022 (BANCA IFIS).pdf"
"BANCA MEDIOLANUM";"Banks";"641910";"";"Lombardia";"Si";"Servizi-Finanziari";"DNF";"Report-separato";"330";"27";"16";"39";"58";"No";"No";"No";"No";"Si (2020-2022)";"No";"No";"No";"No";"Si";"Si";"In accordance with";"UN Global Compact";"UN Global Compact";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"2265";"2594";"205";"";"4039197";"67826";"";"";"81159585";"100";"530428406829371";"15";"Si";"No";"No";"6464";"3083";"54";"13";"";"";"11";"70";"19";"60";"0";"0";"100";"92.pdf";"DNF_Sostenibilita_2022 (BANCA MEDIOLANUM).pdf"
"BANCA MONTE DEI PASCHI DI SIENA SPA";"Banks";"641910";"";"Toscana";"Si";"Servizi-Finanziari";"DNF";"Report-separato";"226";"25";"46";"24";"12";"Si";"Si";"Si";"Si";"Si (2020-2022)";"Si";"Si";"Si";"Si";"No";"Si";"In accordance with";"UN Global Compact";"UN Global Compact";"Si";"Si";"Si";"Lista";"Si";"Si";"Si";"No";"Survey; Workshop Multi-STK";"5525";"27343";"0";"";"2064";"377521";"";"";"";"1008";"195328935639151";"24";"Si";"No";"No";"7866";"8961";"40";"19";"97";"";"2";"58";"40";"60";"0";"7";"93";"74.pdf";"dichiarazione-non-finanziaria-consolidata-20223 (BANCA MONTE DEI PASCHI DI SIENA SPA).pdf"
"BANCA NAZIONALE DEL LAVORO SPA";"Banks";"641910";"";"Lazio";"Si";"Servizi-Finanziari";"Bilancio-di-Sostenibilita";"Report-Separato";"99";"14";"5";"17";"13";"Si";"Si";"Si";"Si";"Si (2021-2022)";"No";"Si";"Si";"Si";"No";"Si";"With reference to";"UN Global Compact";"UN Global Compact";"Si";"No";"Si";"Matrice";"Si";"Si";"Si";"No";"Survey; Workshop Mono-STK";"875227";"";"";"20376";"";"38870058";"";"";"";"9622";"127777777777778";"267";"Si";"No";"No";"5159";"5098";"23";"35";"92";"4898";"4";"51";"45";"";"0";"0";"100";"45.pdf";"BNL_Report_Sostenibilita_2022.pdf"
"BANCA POPOLARE DELL ALTO ADIGE";"Banks";"641910";"";"Trentino-Alto Adige";"Si";"Servizi-Finanziari";"DNF";"Report-separato";"91";"5";"4";"28";"3";"No";"No";"Si";"Si";"Si (2020-2022)";"No";"No";"No";"No";"Si";"Si";"In accordance with";"";"";"No";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"93986";"172379";"10952";"";"";"39179";"";"130155";"";"227";"196289609432572";"";"Si";"No";"No";"762";"595";"17";"17";"86";"";"10";"48";"42";"";"0";"58";"42";"84.pdf";"DNF2022Volksbank.pdf"
"BANCA POPOLARE DI SONDRIO";"Banks";"641910";"";"Lombardia";"Si";"Servizi-Finanziari";"DNF";"Report-Separato";"296";"";"38";"59";"77";"Si";"Si";"Si";"Si";"Si (2020-2022)";"Si";"No";"Si";"Si";"No";"Si";"In accordance with";"TCFD; UN Global Compact";"TCFD; UN Global Compact";"Si";"Si";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"3383";"5231";"384";"";"675";"123967";"";"";"";"35272";"204360353721444";"237";"No";"No";"No";"2607";"849";"28";"0";"";"";"17";"56";"27";"";"0";"3";"97";"47.pdf";"BPS_Dichiarazione consolidata di carattere non finanziario 2022.pdf"
"BANCA POPOLARE DI PUGLIA E BASILICATA";"Banks";"641910";"";"Puglia";"Si";"Servizi-Finanziari";"Bilancio-Integrato";"Incluso-nella-Relazione-sulla-Gestione";"332";"9";"7";"31";"21";"No";"No";"Si";"Si";"Si (2021-2022)";"Si";"No";"No";"Si";"No";"Si";"In accordance with";"";"";"Si";"Si";"Si";"Lista";"Si";"Si";"Si";"No";"Survey ";"297";"";"";"1434";"";"20537";"";"";"";"";"201388888888889";"210703564564547";"Si";"No";"No";"603";"424";"333";"3";"";"";"7";"548";"445";"556";"0";"0";"100";"40.pdf";"BILANCIODNF_2022_BPPB_esec.pdf"
"BANCA POPOLARE PUGLIESE";"Banks";"641910";"";"Puglia";"Si";"Servizi-Finanziari";"DNF";"Report-Separato";"147";"28";"10";"5";"30";"Si";"Si";"Si";"Si";"Si (2020-2022)";"Si";"Si";"Si";"Si";"No";"Si";"In accordance with";"";"";"Si";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey ";"160";"1299";"";"";"";"20219";"";"19231";"";"12";"189";"2806";"Si";"No";"No";"469";"299";"1905";"";"";"";"38";"439";"523";"";"0";"1429";"8571";"11.pdf";"2_dichiarazione_consolidata_carattere_non_finanziario_2022.pdf"
"BANCA SELLA";"Banks";"641910";"";"Piemonte";"Si";"Servizi-Finanziari";"DNF";"Report-Separato";"147";"25";"16";"26";"15";"Si";"Si";"Si";"Si";"Si (2019-2022)";"No";"No";"No";"No";"Si";"Si";"In accordance with";"";"";"Si";"No";"No";"Matrice";"Si";"Si";"Si";"Si";"Survey ";"3372";"4705";"156";"";"5595";"90780";"";"";"";"";"154";"265";"Si";"No";"No";"2840";"2415";"308";"29";"";"43";"1578";"5808";"2615";"";"0";"0";"100";"25.pdf";"BancaSellaDNF.pdf"
"BANCA VALSABBINA";"Banks";"641910";"";"Lombardia";"Si";"Servizi-Finanziari";"DNF";"Report-Separato";"69";"4";"4";"29";"12";"Si";"No";"Si";"No";"Si (2018-2022)";"No";"No";"No";"No";"No";"Si";"In accordance with";"";"";"No";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"51238";"";"";"74844";"";"18706";"";"";"";"241";"16";"2246";"Si";"No";"No";"544";"242";"20";"0";"";"4283";"852";"7137";"201";"";"";"";"";"26.pdf";"BancaValsabbina-DNF2022.pdf"
"BANCO BPM";"Banks";"641910";"";"Lombardia";"Si";"Servizi-Finanziari";"Bilancio-di-Sostenibilita";"Report-Separato";"215";"6";"30";"69";"23";"Si";"Si";"Si";"Si";"Si (2021-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"In accordance with";"TCFD";"TCFD";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey ";"114759";"296806";"38895";"";"12920";"5708326";"";"";"547";"236997";"4";"19";"Si";"No";"No";"10822";"9332";"40";"26";"84";"49";"";"";"";"";"0";"13";"87";"28.pdf";"BBPM_DCNF_2022_170423.pdf"
