ANNO,AteneoCOD,AteneoNOME,AteneoREGIONE,COD_FoET2013,DESC_FoET2013,Genere,DOTTORI
2023,01508,Milano - Universita' Vita-Salute San Raffaele,Lombardia,05,"Natural sciences, mathematics and statistics",F,16
2023,01508,Milano - Universita' Vita-Salute San Raffaele,Lombardia,05,"Natural sciences, mathematics and statistics",M,5
2023,01508,Milano - Universita' Vita-Salute San Raffaele,Lombardia,09,Health and welfare,F,14
2023,01508,Milano - Universita' Vita-Salute San Raffaele,Lombardia,09,Health and welfare,M,12
2023,01505,Milano - Libera Universita' di Lingue e Comunicazione (IULM),Lombardia,02,Arts and humanities,F,3
2023,01505,Milano - Libera Universita' di Lingue e Comunicazione (IULM),Lombardia,02,Arts and humanities,M,4
2023,01505,Milano - Libera Universita' di Lingue e Comunicazione (IULM),Lombardia,03,"Social sciences, journalism and information",M,3
2023,01505,Milano - Libera Universita' di Lingue e Comunicazione (IULM),Lombardia,04,"Business, administration and law",M,2
2023,01504,"Milano - Universita' Cattolica del ""Sacro Cuore""",Lombardia,01,Education,F,3
2023,01504,"Milano - Universita' Cattolica del ""Sacro Cuore""",Lombardia,01,Education,M,2
2023,01504,"Milano - Universita' Cattolica del ""Sacro Cuore""",Lombardia,02,Arts and humanities,F,8
2023,01504,"Milano - Universita' Cattolica del ""Sacro Cuore""",Lombardia,02,Arts and humanities,M,7
2023,01504,"Milano - Universita' Cattolica del ""Sacro Cuore""",Lombardia,03,"Social sciences, journalism and information",F,29
2023,01504,"Milano - Universita' Cattolica del ""Sacro Cuore""",Lombardia,03,"Social sciences, journalism and information",M,12
2023,01504,"Milano - Universita' Cattolica del ""Sacro Cuore""",Lombardia,04,"Business, administration and law",F,15
2023,01504,"Milano - Universita' Cattolica del ""Sacro Cuore""",Lombardia,04,"Business, administration and law",M,6
2023,01504,"Milano - Universita' Cattolica del ""Sacro Cuore""",Lombardia,05,"Natural sciences, mathematics and statistics",F,7
2023,01504,"Milano - Universita' Cattolica del ""Sacro Cuore""",Lombardia,05,"Natural sciences, mathematics and statistics",M,3
2023,01504,"Milano - Universita' Cattolica del ""Sacro Cuore""",Lombardia,08,"Agriculture, forestry, fisheries and veterinary",F,10
2023,01504,"Milano - Universita' Cattolica del ""Sacro Cuore""",Lombardia,08,"Agriculture, forestry, fisheries and veterinary",M,7
2023,01504,"Milano - Universita' Cattolica del ""Sacro Cuore""",Lombardia,09,Health and welfare,F,30
2023,01504,"Milano - Universita' Cattolica del ""Sacro Cuore""",Lombardia,09,Health and welfare,M,26
2023,01503,"Milano - Universita' commerciale ""Luigi Bocconi""",Lombardia,03,"Social sciences, journalism and information",F,5
