ANNO,AteneoCOD,AteneoNOME,AteneoREGIONE,CorsoTIPO,COD_FoET2013,DESC_FoET2013,Genere,ISC
2023/2024,08701,Catania - Universita' degli studi,Sicilia,Laurea,4,"Business, administration and law",M,1209
2023/2024,08701,Catania - Universita' degli studi,Sicilia,Laurea,5,"Natural sciences, mathematics and statistics",F,1998
2023/2024,08701,Catania - Universita' degli studi,Sicilia,Laurea,5,"Natural sciences, mathematics and statistics",M,1332
2023/2024,08701,Catania - Universita' degli studi,Sicilia,Laurea,6,Information and Communication Technologies (ICTs),F,142
2023/2024,08701,Catania - Universita' degli studi,Sicilia,Laurea,6,Information and Communication Technologies (ICTs),M,1090
2023/2024,08701,Catania - Universita' degli studi,Sicilia,Laurea,7,"Engineering, manufacturing and construction",F,591
2023/2024,08701,Catania - Universita' degli studi,Sicilia,Laurea,7,"Engineering, manufacturing and construction",M,2388
2023/2024,08701,Catania - Universita' degli studi,Sicilia,Laurea,8,"Agriculture, forestry, fisheries and veterinary",F,399
2023/2024,08701,Catania - Universita' degli studi,Sicilia,Laurea,8,"Agriculture, forestry, fisheries and veterinary",M,668
2023/2024,08701,Catania - Universita' degli studi,Sicilia,Laurea,9,Health and welfare,F,1530
2023/2024,08701,Catania - Universita' degli studi,Sicilia,Laurea,9,Health and welfare,M,640
2023/2024,08701,Catania - Universita' degli studi,Sicilia,Laurea Magistrale,1,Education,F,273
2023/2024,08701,Catania - Universita' degli studi,Sicilia,Laurea Magistrale,1,Education,M,12
2023/2024,08701,Catania - Universita' degli studi,Sicilia,Laurea Magistrale,2,Arts and humanities,F,1178
2023/2024,08701,Catania - Universita' degli studi,Sicilia,Laurea Magistrale,2,Arts and humanities,M,339
2023/2024,08701,Catania - Universita' degli studi,Sicilia,Laurea Magistrale,3,"Social sciences, journalism and information",F,588
2023/2024,08701,Catania - Universita' degli studi,Sicilia,Laurea Magistrale,3,"Social sciences, journalism and information",M,245
2023/2024,08701,Catania - Universita' degli studi,Sicilia,Laurea Magistrale,4,"Business, administration and law",F,292
2023/2024,08701,Catania - Universita' degli studi,Sicilia,Laurea Magistrale,4,"Business, administration and law",M,274
2023/2024,08701,Catania - Universita' degli studi,Sicilia,Laurea Magistrale,5,"Natural sciences, mathematics and statistics",F,545
2023/2024,08701,Catania - Universita' degli studi,Sicilia,Laurea Magistrale,5,"Natural sciences, mathematics and statistics",M,418
2023/2024,08701,Catania - Universita' degli studi,Sicilia,Laurea Magistrale,6,Information and Communication Technologies (ICTs),F,36
2023/2024,08701,Catania - Universita' degli studi,Sicilia,Laurea Magistrale,6,Information and Communication Technologies (ICTs),M,197
2023/2024,08701,Catania - Universita' degli studi,Sicilia,Laurea Magistrale,7,"Engineering, manufacturing and construction",F,209
2023/2024,08701,Catania - Universita' degli studi,Sicilia,Laurea Magistrale,7,"Engineering, manufacturing and construction",M,707
2023/2024,08701,Catania - Universita' degli studi,Sicilia,Laurea Magistrale,8,"Agriculture, forestry, fisheries and veterinary",F,112
2023/2024,08701,Catania - Universita' degli studi,Sicilia,Laurea Magistrale,8,"Agriculture, forestry, fisheries and veterinary",M,204
2023/2024,08701,Catania - Universita' degli studi,Sicilia,Laurea Magistrale,9,Health and welfare,F,353
2023/2024,08701,Catania - Universita' degli studi,Sicilia,Laurea Magistrale,9,Health and welfare,M,157
2023/2024,08701,Catania - Universita' degli studi,Sicilia,Laurea Magistrale Ciclo Unico,4,"Business, administration and law",F,1589
2023/2024,08701,Catania - Universita' degli studi,Sicilia,Laurea Magistrale Ciclo Unico,4,"Business, administration and law",M,764
2023/2024,08701,Catania - Universita' degli studi,Sicilia,Laurea Magistrale Ciclo Unico,7,"Engineering, manufacturing and construction",F,568
2023/2024,08701,Catania - Universita' degli studi,Sicilia,Laurea Magistrale Ciclo Unico,7,"Engineering, manufacturing and construction",M,373
2023/2024,08701,Catania - Universita' degli studi,Sicilia,Laurea Magistrale Ciclo Unico,9,Health and welfare,F,2598
2023/2024,08701,Catania - Universita' degli studi,Sicilia,Laurea Magistrale Ciclo Unico,9,Health and welfare,M,1784
2023/2024,08601,"Enna - Libera Universita' della Sicilia Centrale ""KORE""",Sicilia,Laurea,2,Arts and humanities,F,234
2023/2024,08601,"Enna - Libera Universita' della Sicilia Centrale ""KORE""",Sicilia,Laurea,2,Arts and humanities,M,63
2023/2024,08601,"Enna - Libera Universita' della Sicilia Centrale ""KORE""",Sicilia,Laurea,3,"Social sciences, journalism and information",F,379
2023/2024,08601,"Enna - Libera Universita' della Sicilia Centrale ""KORE""",Sicilia,Laurea,3,"Social sciences, journalism and information",M,125
2023/2024,08601,"Enna - Libera Universita' della Sicilia Centrale ""KORE""",Sicilia,Laurea,4,"Business, administration and law",F,133
2023/2024,08601,"Enna - Libera Universita' della Sicilia Centrale ""KORE""",Sicilia,Laurea,4,"Business, administration and law",M,215
2023/2024,08601,"Enna - Libera Universita' della Sicilia Centrale ""KORE""",Sicilia,Laurea,7,"Engineering, manufacturing and construction",F,71
2023/2024,08601,"Enna - Libera Universita' della Sicilia Centrale ""KORE""",Sicilia,Laurea,7,"Engineering, manufacturing and construction",M,317
2023/2024,08601,"Enna - Libera Universita' della Sicilia Centrale ""KORE""",Sicilia,Laurea,9,Health and welfare,F,294
2023/2024,08601,"Enna - Libera Universita' della Sicilia Centrale ""KORE""",Sicilia,Laurea,9,Health and welfare,M,107
2023/2024,08601,"Enna - Libera Universita' della Sicilia Centrale ""KORE""",Sicilia,Laurea Magistrale,2,Arts and humanities,F,46
2023/2024,08601,"Enna - Libera Universita' della Sicilia Centrale ""KORE""",Sicilia,Laurea Magistrale,2,Arts and humanities,M,9
2023/2024,08601,"Enna - Libera Universita' della Sicilia Centrale ""KORE""",Sicilia,Laurea Magistrale,3,"Social sciences, journalism and information",F,132
2023/2024,08601,"Enna - Libera Universita' della Sicilia Centrale ""KORE""",Sicilia,Laurea Magistrale,3,"Social sciences, journalism and information",M,23
2023/2024,08601,"Enna - Libera Universita' della Sicilia Centrale ""KORE""",Sicilia,Laurea Magistrale,4,"Business, administration and law",F,37
2023/2024,08601,"Enna - Libera Universita' della Sicilia Centrale ""KORE""",Sicilia,Laurea Magistrale,4,"Business, administration and law",M,31
2023/2024,08601,"Enna - Libera Universita' della Sicilia Centrale ""KORE""",Sicilia,Laurea Magistrale,7,"Engineering, manufacturing and construction",F,1
2023/2024,08601,"Enna - Libera Universita' della Sicilia Centrale ""KORE""",Sicilia,Laurea Magistrale,7,"Engineering, manufacturing and construction",M,23
2023/2024,08601,"Enna - Libera Universita' della Sicilia Centrale ""KORE""",Sicilia,Laurea Magistrale,9,Health and welfare,F,107
2023/2024,08601,"Enna - Libera Universita' della Sicilia Centrale ""KORE""",Sicilia,Laurea Magistrale,9,Health and welfare,M,62
2023/2024,08601,"Enna - Libera Universita' della Sicilia Centrale ""KORE""",Sicilia,Laurea Magistrale Ciclo Unico,1,Education,F,1535
2023/2024,08601,"Enna - Libera Universita' della Sicilia Centrale ""KORE""",Sicilia,Laurea Magistrale Ciclo Unico,1,Education,M,110
2023/2024,08601,"Enna - Libera Universita' della Sicilia Centrale ""KORE""",Sicilia,Laurea Magistrale Ciclo Unico,4,"Business, administration and law",F,182
