COD_Ateneo,NomeOperativo,Regione,Statale/Non statale,Telematica/Non telematica
06202,Benevento - Giustino Fortunato,Non statale,Telematica
06301,Napoli Federico II,Campania,Statale,Non telematica
06302,Napoli Parthenope,Campania,Statale,Non telematica
06303,Napoli L'Orientale,Campania,Statale,Non telematica
06304,Napoli Benincasa,Campania,Non statale,Non telematica
06306,Napoli Vanvitelli,Campania,Statale,Non telematica
06307,Napoli Pegaso,Campania,Non statale,Telematica
06308,Napoli SS Meridionale,Campania,Statale,Non telematica
06501,Salerno,Campania,Statale,Non telematica
06601,L'Aquila,Abruzzo,Statale,Non telematica
06603,L'Aquila - GSSI,Abruzzo,Statale,Non telematica
06701,Teramo,Abruzzo,Statale,Non telematica
06901,Chieti e Pescara,Abruzzo,Statale,Non telematica
06902,Torrevecchia Teatina - Leonardo da Vinci,Abruzzo,Non statale,Telematica
07001,Molise,Molise,Statale,Non telematica
07101,Foggia,Puglia,Statale,Non telematica
07201,Bari,Puglia,Statale,Non telematica
07202,Bari Politecnico,Puglia,Statale,Non telematica
07203,Casamassima - G.Degennaro,Puglia,Non statale,Non telematica
07501,Salento,Puglia,Statale,Non telematica
07601,Basilicata,Basilicata,Statale,Non telematica
07801,Calabria,Calabria,Statale,Non telematica
07901,Catanzaro,Calabria,Statale,Non telematica
08001,Reggio Calabria,Calabria,Statale,Non telematica
08003,Reggio Calabria - Dante Alighieri,Calabria,Non statale,Non telematica
08201,Palermo,Sicilia,Statale,Non telematica
08301,Messina,Sicilia,Statale,Non telematica
08601,Enna - KORE,Sicilia,Non statale,Non telematica
08701,Catania,Sicilia,Statale,Non telematica
09001,Sassari,Sardegna,Statale,Non telematica
09201,Cagliari,Sardegna,Statale,Non telematica
